lsoa11cd,CURRENT_EPC_RATING_MODE,POTENTIAL_EPC_RATING_MODE,EPC_PROPERTY_COUNT,EPC_PROPERTY_AGE_BAND_MODE,VOA_PROPERTY_COUNT,VOA_PROPERTY_AGE_BAND_MODE,PROPERTIES_WITH_EPC_PERC
E01011652,D,C,300,1930-1949,530,1930-1939,0.57
E01011653,D,C,483,1900-1929,700,PRE-1900,0.69
E01011654,D,C,278,1930-1949,560,1930-1939,0.5
E01011655,C,C,517,1967-1975,780,PRE-1900,0.66
E01011656,C,B,397,1930-1949,620,1955-1964,0.64
E01011657,C,B,376,1950-1966,630,1955-1964,0.6
E01011658,D,C,613,1950-1966,820,1945-1954,0.75
E01011659,D,C,468,1950-1966,670,1945-1954,0.7
E01011660,D,C,578,1950-1966,720,1945-1954,0.8
E01011661,D,C,563,1950-1966,890,1955-1964,0.63
E01011662,D,C,388,1950-1966,550,1930-1939,0.71
E01011663,B,B,488,UNKNOWN,610,1930-1939,0.8
E01011664,C,C,360,1950-1966,570,1945-1954,0.63
E01011665,C,C,342,1930-1949,650,1930-1939,0.53
E01011666,D,B,249,1930-1949,620,1930-1939,0.4
E01011667,C,C,337,1930-1949,530,1930-1939,0.64
E01011668,D,C,502,1900-1929,570,PRE-1900,0.88
E01011669,D,B,458,1900-1929,620,PRE-1900,0.74
E01011670,C,C,800,1950-1966,1390,1973-1982,0.58
E01011671,C,B,698,1950-1966,660,1973-1982,1.06
E01011673,D,B,714,1900-1929,850,PRE-1900,0.84
E01011677,D,B,725,UNKNOWN,830,PRE-1900,0.87
E01011678,C,C,961,UNKNOWN,2070,2000-2008,0.46
E01011681,C,C,576,1900-1929,740,1973-1982,0.78
E01011684,D,C,398,1930-1949,660,1930-1939,0.6
E01011685,C,C,668,UNKNOWN,910,2000-2008,0.73
E01011686,D,C,590,1950-1966,840,1955-1964,0.7
E01011687,D,C,334,1930-1949,590,1930-1939,0.57
E01011688,D,B,373,1996-2002,590,1993-1999,0.63
E01011689,D,B,434,1950-1966,790,1930-1939,0.55
E01011690,D,C,479,PRE-1900,700,PRE-1900,0.68
E01011691,C,C,499,1991-1995,650,1993-1999,0.77
E01011692,D,C,513,PRE-1900,750,PRE-1900,0.68
E01011693,D,B,628,1900-1929,800,PRE-1900,0.78
E01011694,D,C,516,1930-1949,680,1930-1939,0.76
E01011695,D,C,559,1950-1966,750,1945-1954,0.75
E01011696,D,C,374,1967-1975,670,1955-1964,0.56
E01011697,D,B,403,UNKNOWN,710,1955-1964,0.57
E01011698,D,B,280,1950-1966,630,1955-1964,0.44
E01011699,D,B,268,1983-1990,600,1965-1972,0.45
E01011700,B,B,409,UNKNOWN,640,1973-1982,0.64
E01011701,D,B,289,1983-1990,570,1983-1992,0.51
E01011702,B,C,435,UNKNOWN,620,1983-1992,0.7
E01011703,D,C,229,1967-1975,580,1973-1982,0.39
E01011704,C,C,846,UNKNOWN,1230,2000-2008,0.69
E01011705,D,B,381,1950-1966,670,1955-1964,0.57
E01011706,D,C,344,1967-1975,640,1983-1992,0.54
E01011707,D,B,303,1950-1966,620,1965-1972,0.49
E01011708,D,C,309,1950-1966,650,1955-1964,0.48
E01011709,D,C,495,UNKNOWN,840,1965-1972,0.59
E01011710,D,C,378,PRE-1900,650,PRE-1900,0.58
E01011711,D,C,385,PRE-1900,680,PRE-1900,0.57
E01011712,D,B,356,PRE-1900,650,PRE-1900,0.55
E01011713,D,C,394,1930-1949,720,1930-1939,0.55
E01011714,D,B,413,UNKNOWN,740,1973-1982,0.56
E01011715,D,B,260,1967-1975,560,1973-1982,0.46
